stmCrossingLinkID,stmPedRampID1,stmPedRampID2,stmPedRampID3,stmPedRampID4,RampCount
1213950109,258829834,295705525,,,2
1213950110,234759404,218991904,,,2
1213950111,221468997,225788757,,,2
1213950113,247988020,280519102,,,2
1213950148,297268666,,,,1
1214143662,262239205,279208889,,,2
1214143673,215138108,,,,1
1214143674,218191650,,,,1
1214143677,289071322,264788424,,,2
1214143678,269254507,289071322,,,2
1214143730,242630003,289368392,,,2
1214143732,242484098,246911247,,,2
1214143765,283798529,,,,1
1214143767,253126025,,,,1
1214580608,229546675,253669448,,,2
1215561741,268353049,287487202,,,2
1215561742,285746911,250368335,,,2
1215561878,220654833,223377933,,,2
1215573686,291238567,252223017,,,2
1215581439,248918808,,,,1
1215583913,273592015,239228964,,,2
1215583914,236866694,239796562,,,2
1215584528,234389066,,,,1
1215584530,273181099,232844815,,,2
1215584532,272095859,241780534,,,2
1215587814,266499259,,,,1
1215587816,252734367,270354401,,,2
1215587818,226569818,268818335,,,2
1215587820,224514472,298333199,,,2
1215587821,244200472,267784819,,,2
1215588836,217545241,,,,1
1215588837,216512751,267066799,,,2
1215589318,282068960,298137284,,,2
1215589319,264868371,298137285,,,2
1215617717,267771202,252080233,,,2
1215619748,262642697,269292948,,,2
1215621832,220806791,292325287,,,2
1215621833,265757728,221332421,,,2
1215622453,276881778,220851713,,,2
1215622455,210041496,275745076,,,2
1215622458,273304981,284636717,,,2
1215622963,210858636,224732108,,,2
1215623585,298233444,213913849,,,2
1215624147,274249812,246369918,,,2
1215624149,217257027,231824081,,,2
1215624150,218398293,242776623,,,2
1215624152,225967892,295270739,,,2
1215624628,284417939,236132977,,,2
1215624629,237691286,271781902,,,2
1215624630,252041283,219484203,,,2
1215624632,224814785,294632866,,,2
1215624633,239905073,275841017,,,2
1215624704,234049732,286873129,,,2
1215625025,284977072,217552909,,,2
1215625027,268797100,244888159,,,2
1215625028,212465394,269745284,,,2
1215625029,234640190,268797100,,,2
1215625030,243528948,224385190,,,2
1215625032,254180670,223086567,,,2
1215625033,288682665,292615913,,,2
1215625034,267627310,299723820,,,2
1215626383,259368225,239630229,,,2
1215626385,215448769,274131723,,,2
1215626956,260292074,278958569,,,2
1215626958,211150881,260292074,,,2
1215626959,290146253,287749355,,,2
1215626960,299740660,283598152,,,2
1215629847,231166614,264969016,,,2
1215630471,246227537,261047280,,,2
1215630475,290782705,295744588,,,2
1215630695,282623246,213030609,,,2
1215631304,225810680,213448464,,,2
1215632051,262076694,230655383,,,2
1215632055,286244474,253870506,,,2
1215632383,216758798,264568226,,,2
1215632385,213294127,264568226,,,2
1215632386,265216110,216758798,,,2
1215632753,287527947,223963411,,,2
1215632754,226435628,299811663,,,2
894010476,,,,,
894010494,,,,,
1018663550,,,,,
1021308540,,,,,
1030139734,,,,,
1038921351,,,,,
1038921355,,,,,
1038921357,,,,,
1038921358,,,,,
1038921359,,,,,
1038921366,,,,,
1041550522,,,,,
1041553267,,,,,
1041553278,,,,,
1043857846,,,,,
1054230085,,,,,
1054237390,,,,,
1074224334,,,,,
1099885418,,,,,
1108386726,,,,,
1111062735,,,,,
1111062737,,,,,
1119062916,,,,,
1141823122,,,,,
1151673664,,,,,
1201573746,,,,,
1201583911,,,,,
1201583912,,,,,
1215582676,,,,,
1215623452,,,,,
1215623454,,,,,
1215624306,,,,,
1215630469,,,,,
1215632756,249606517,235238734,,,2
1215632757,259597297,249606517,,,2
1215634291,222827551,227431220,,,2
1215634293,287760507,,,,1
1215634298,215298391,230609475,,,2
1215634953,268409679,,,,1
1215634955,230482136,231459751,,,2
1215635027,292094419,,,,1
1215635454,274512626,230577936,,,2
1215635457,265930378,251881960,,,2
1215635459,296240457,266080546,,,2
1215635462,211616801,212250641,,,2
1215635465,286488429,297686598,,,2
1215635467,254150450,246488107,,,2
1215635468,225430621,246488107,,,2
1215636092,252005753,291429787,,,2
1215636392,245772736,216748335,,,2
1215636398,244465539,291121811,,,2
1215636400,295516012,212866971,,,2
1215636647,236302830,247534165,,,2
1215636652,254320959,282071954,,,2
1215636653,268805604,,,,1
1215636775,231481651,,,,1
1215651398,234626824,226508508,,,2
1215651399,279171873,275296303,,,2
1215651406,239940697,262527031,,,2
1215651409,266993657,242193937,,,2
1215651412,252541971,266471814,,,2
1215651413,266471814,,,,1
1215651414,248308839,262829488,,,2
1215651427,235144510,290136924,,,2
1215651429,273131495,290136925,,,2
1215651430,258503464,260685627,,,2
1215651432,260685628,231105395,,,2
1215651433,229053284,231105395,,,2
1215651448,223994069,,,,1
1215687205,224392553,220571083,,,2
1215687220,240671224,211780983,,,2
1215687221,237551054,298051597,,,2
1215687222,249672649,289386036,,,2
1215687224,232205849,289386036,,,2
1215687226,260804311,225537257,,,2
1215687227,249672649,225537257,,,2
1215687229,244443674,238844469,,,2
1215687243,289119927,243027139,,,2
1215687244,224027539,232632598,,,2
1215687245,262455176,299739319,,,2
1215868760,261657682,291618218,,,2
1215868762,224474900,285433943,,,2
1215869772,281078797,,,,1
1215870579,267345989,261887397,,,2
1215870581,248240677,215356152,,,2
1215870582,273439043,265628802,,,2
1215870628,299664871,242293657,,,2
1215870629,266548528,216276775,,,2
1215870630,251188878,295722279,,,2
